,tradeYMD,buildYear,gu,dong,aptName,jySize,floor,price,add1
0,20160107,2008,종로구, 사직동,광화문 풍림스페이스본,39.54,4,33200,9
1,20160108,2004,종로구, 내수동,용비어천가,43.67,2,29500,75
2,20160114,2004,종로구, 내수동,용비어천가,34.45,15,26650,75
3,20160118,2004,종로구, 내수동,경희궁의 아침 2단지,32.43,5,25000,71
4,20160121,2004,종로구, 내수동,용비어천가,41.34,3,22000,75
5,20160121,2004,종로구, 내수동,용비어천가,33,14,25700,75
6,20160123,2004,종로구, 내수동,용비어천가,42.39,9,29500,75
7,20160124,2004,종로구, 내수동,경희궁의 아침 3단지,63.1,12,51000,72
8,20160127,2004,종로구, 내수동,용비어천가,37.56,9,27900,75
9,20160129,2004,종로구, 내수동,용비어천가,58.92,17,47000,75
10,20160129,2004,종로구, 내수동,경희궁의 아침 3단지,37.5,6,28000,72
11,20160107,2004,종로구, 수송동,두산위브파빌리온,37.42,5,26350,58
12,20160111,2004,종로구, 수송동,두산위브파빌리온,72.21,10,44000,58
13,20160111,2004,종로구, 수송동,두산위브파빌리온,37.42,12,26300,58
14,20160115,2004,종로구, 수송동,두산위브파빌리온,35.22,12,25300,58
15,20160126,2004,종로구, 수송동,두산위브파빌리온,57.96,7,37500,58
16,20160112,2007,종로구, 종로1가,르메이에르종로타운1,44.62,10,33000,24
17,20160122,2007,종로구, 종로1가,르메이에르종로타운1,43.43,7,33400,24
18,20160129,2007,종로구, 종로1가,르메이에르종로타운1,56.64,7,37800,24
19,20160107,2005,종로구, 경운동,운현궁 에스케이 허브,35.36,4,24700,89-4
20,20160122,1994,종로구, 낙원동,종로오피스텔,25.2,8,10500,58-1
21,20160129,2006,종로구, 인의동,효성주얼리시티,60.37,5,29000,48-2
22,20160115,2001,종로구, 연건동,대보마로니에텔,26.52,6,13694,206
23,20160125,2011,종로구, 충신동,CS타워,29.56,3,15100,62-2
24,20160104,2004,종로구, 숭인동,종로대우디오빌,29.65,14,17400,310
25,20160105,2003,종로구, 숭인동,	(317-35)	,9.12,4,3533,317-35
26,20160105,2003,종로구, 숭인동,	(317-35)	,37.32,8,26203,317-35
27,20160105,2003,종로구, 숭인동,	(317-35)	,16.5,7,8660,317-35
28,20160105,2003,종로구, 숭인동,	(317-35)	,15.4,5,6423,317-35
29,20160105,2003,종로구, 숭인동,	(317-35)	,15.4,4,6323,317-35
30,20160105,2003,종로구, 숭인동,	(317-35)	,15.4,3,6323,317-35
31,20160105,2003,종로구, 숭인동,	(317-35)	,15.4,2,6223,317-35
32,20160105,2003,종로구, 숭인동,	(317-35)	,13.86,6,5850,317-35
33,20160105,2003,종로구, 숭인동,	(317-35)	,13.86,5,5750,317-35
34,20160105,2003,종로구, 숭인동,	(317-35)	,7.74,6,4766,317-35
35,20160105,2003,종로구, 숭인동,	(317-35)	,9.12,2,3434,317-35
36,20160105,2003,종로구, 숭인동,	(317-35)	,9.12,3,3533,317-35
37,20160105,2003,종로구, 숭인동,	(317-35)	,9.12,5,3633,317-35
38,20160105,2003,종로구, 숭인동,	(317-35)	,9.12,6,3733,317-35
39,20160105,2003,종로구, 숭인동,	(317-35)	,10.12,6,6523,317-35
40,20160105,2003,종로구, 숭인동,	(317-35)	,11.34,2,4466,317-35
41,20160105,2003,종로구, 숭인동,	(317-35)	,11.34,3,4566,317-35
42,20160105,2003,종로구, 숭인동,	(317-35)	,11.34,4,4566,317-35
43,20160105,2003,종로구, 숭인동,	(317-35)	,11.34,5,4666,317-35
44,20160105,2003,종로구, 숭인동,	(317-35)	,12.24,7,6286,317-35
45,20160105,2003,종로구, 숭인동,	(317-35)	,12.86,1,5055,317-35
46,20160105,2003,종로구, 숭인동,	(317-35)	,13.34,2,5299,317-35
47,20160105,2003,종로구, 숭인동,	(317-35)	,13.34,3,5399,317-35
48,20160105,2003,종로구, 숭인동,	(317-35)	,13.34,4,5399,317-35
49,20160105,2003,종로구, 숭인동,	(317-35)	,13.34,5,5499,317-35
50,20160105,2003,종로구, 숭인동,	(317-35)	,13.34,6,5599,317-35
51,20160105,2003,종로구, 숭인동,	(317-35)	,13.34,7,6816,317-35
52,20160105,2003,종로구, 숭인동,	(317-35)	,13.86,2,5550,317-35
53,20160105,2003,종로구, 숭인동,	(317-35)	,13.86,3,5650,317-35
54,20160105,2003,종로구, 숭인동,	(317-35)	,13.86,4,5650,317-35
55,20160107,2005,종로구, 숭인동,동양파라빌,27.09,12,13000,1388
56,20160111,2013,종로구, 숭인동,종로 동광모닝스카이,19.95,3,11500,1421-1
57,20160111,2013,종로구, 숭인동,종로 동광모닝스카이,19.95,3,11500,1421-1
58,20160115,2004,종로구, 숭인동,종로대우디오빌,29.65,7,17000,310
59,20160121,2004,종로구, 숭인동,종로대우디오빌,29.65,9,17500,310
60,20160123,2013,종로구, 숭인동,종로 아인스빌,17.88,8,11000,1392-1
61,20160125,2005,종로구, 숭인동,동양파라빌,27.09,6,13300,1388
62,20160127,2004,종로구, 숭인동,롯데캐슬 천지인,39.6,8,23700,76
63,20160130,2005,종로구, 숭인동,동양파라빌,24.93,5,11900,1388
0,20160104,2009,중구, 장충동2가,아도라타워,52.2,7,29000,173-2
1,20160104,1999,중구, 광희동1가,광희동금호트윈 오피스텔,22.14,9,8600,89-1
2,20160119,1999,중구, 광희동1가,광희동금호트윈 오피스텔,26.22,5,10500,89-1
3,20160121,1999,중구, 광희동1가,광희동금호트윈 오피스텔,22.14,4,8100,89-1
4,20160125,2003,중구, 을지로5가,정건벨라지오오피스텔,29.45,9,11000,20-1
5,20160125,2003,중구, 을지로5가,정건벨라지오오피스텔,29.45,13,11000,20-1
6,20160131,2005,중구, 을지로5가,대성을지로오피스텔,33.95,5,18900,77-2
7,20160118,1995,중구, 을지로3가,드림오피스타운,29.23,8,14000,259-1
8,20160125,2013,중구, 흥인동,	(91)	,24.85,7,18000,91
9,20160127,2014,중구, 흥인동,청계천 두산위브더제니스,46.74,13,34800,13-1
10,20160129,2014,중구, 흥인동,청계천 두산위브더제니스,46.74,21,37000,13-1
11,20160109,2014,중구, 황학동,다올노블리움A동,58.5,3,27700,1744
12,20160110,2014,중구, 황학동,아미인,18.23,5,14013,836
13,20160113,2014,중구, 황학동,아미인,18.62,3,13802,836
14,20160113,2014,중구, 황학동,아미인,18.62,3,13802,836
15,20160113,2014,중구, 황학동,아미인,18.23,2,13696,836
16,20160113,2014,중구, 황학동,아미인,18.41,2,13696,836
17,20160124,2014,중구, 황학동,아미인,18.62,5,14013,836
18,20160125,2014,중구, 황학동,아미인,18.62,7,14013,836
19,20160125,2014,중구, 황학동,아미인,18.41,6,14013,836
20,20160125,2014,중구, 황학동,아미인,18.41,6,14013,836
21,20160113,2003,중구, 의주로1가,바비엥-1,83.05,18,45000,32-2
22,20160108,2006,중구, 중림동,브라운스톤서울,68.04,22,40000,355
23,20160111,2006,중구, 중림동,브라운스톤서울,68.04,27,40000,355
24,20160115,2005,중구, 만리동1가,서울역 디오빌,27.7,8,16900,62-7
25,20160124,2005,중구, 만리동1가,서울역 디오빌,56.17,3,31000,62-7
26,20160128,2005,중구, 만리동1가,서울역 디오빌,56.17,6,30900,62-7
27,20160122,2004,중구, 만리동2가,KCC 파크타운,66.47,7,35000,11-1
28,20160123,2004,중구, 만리동2가,KCC 파크타운,32.02,1,19400,11-1
0,20160113,2004,용산구, 갈월동,갈월동 에이트리움,34.21,7,19400,101-49
1,20160123,2004,용산구, 원효로1가,디아뜨 센트럴,25.19,10,15300,112-4
2,20160129,2004,용산구, 원효로1가,디아뜨 센트럴,25.5,9,15300,112-4
3,20160129,1990,용산구, 원효로2가,	(1)	,21.45,5,12200,1
4,20160106,2013,용산구, 문배동,용산큐브,17.46,8,17300,24-4
5,20160106,2007,용산구, 문배동,용산씨제이나인파크,44.43,11,31800,24-6
6,20160114,2004,용산구, 문배동,지오베르크,32.49,2,18900,17-1
7,20160114,2007,용산구, 문배동,용산씨제이나인파크,54.96,11,35300,24-6
8,20160122,2005,용산구, 문배동,이안 용산1차(11-14),63.2,11,35000,11-14
9,20160126,2005,용산구, 문배동,이안 용산1차(11-29),39.2,10,24500,11-29
10,20160131,2013,용산구, 문배동,용산큐브,17.46,7,17200,24-4
11,20160106,2005,용산구, 한강로1가,용산파크자이,28.46,2,22300,50-1
12,20160106,2005,용산구, 한강로1가,용산파크자이,47.91,13,36900,50-1
13,20160108,2005,용산구, 한강로1가,용산파크자이,37.26,27,29700,50-1
14,20160111,2007,용산구, 한강로1가,대우 월드마크 용산,86.38,22,58700,64
15,20160118,2005,용산구, 한강로1가,용산파크자이,42.39,26,35500,50-1
16,20160119,2005,용산구, 한강로1가,용산파크자이,42.39,27,35700,50-1
17,20160120,2005,용산구, 한강로1가,용산파크자이,33.46,8,26000,50-1
18,20160128,2005,용산구, 한강로1가,용산파크자이,39.03,16,28800,50-1
19,20160128,2005,용산구, 한강로1가,용산파크자이,37.26,25,28500,50-1
20,20160129,2005,용산구, 한강로1가,용산파크자이,39.25,2,30000,50-1
21,20160105,2005,용산구, 한강로2가,한강로벽산메가트리움,29.89,11,21000,2-8
22,20160105,2005,용산구, 한강로2가,한강로벽산메가트리움,32.15,16,22000,2-8
23,20160106,2005,용산구, 한강로2가,한강로벽산메가트리움,29.54,10,20150,2-8
24,20160106,2005,용산구, 한강로2가,한강로벽산메가트리움,32.15,5,22000,2-8
25,20160108,2004,용산구, 한강로2가,한강로 대우아이빌,39.76,9,22700,2-11
26,20160109,2005,용산구, 한강로2가,한강로벽산메가트리움,29.54,18,22000,2-8
27,20160111,2005,용산구, 한강로2가,한강로벽산메가트리움,29.54,18,21700,2-8
28,20160115,2005,용산구, 한강로2가,한강현대하이엘,39.37,5,22500,2-36
29,20160116,2005,용산구, 한강로2가,한강로벽산메가트리움,32.15,27,25000,2-8
30,20160127,2004,용산구, 한강로2가,대우디오빌한강로오피스텔,32.19,7,19500,312-4
31,20160128,2002,용산구, 한강로2가,용성비즈텔,42.66,8,23000,314-1
32,20160128,2006,용산구, 한강로2가,용산 토투벨리,37.85,11,22600,2-37
33,20160130,2005,용산구, 한강로2가,한강로벽산메가트리움,32.74,8,22900,2-8
34,20160131,2005,용산구, 한강로2가,한강로벽산메가트리움,29.55,5,21500,2-8
35,20160105,2006,용산구, 한강로3가,지에스 한강에클라스,35.06,11,19000,16-85
36,20160111,2004,용산구, 한남동,언고오피스텔,19.27,6,10000,72-17
0,20160112,2011,성동구, 하왕십리동,리오파크 오피스텔,21.56,3,12000,898-2
1,20160113,2009,성동구, 하왕십리동,왕십리 모노퍼스 주상복합,38.67,13,18000,286-2
2,20160122,2011,성동구, 하왕십리동,리오파크 오피스텔,21.56,8,14300,898-2
3,20160112,2009,성동구, 도선동,다남매타워,77.02,10,40800,22-1
4,20160119,1998,성동구, 도선동,신한넥스텔,19.63,10,9200,14
5,20160120,1998,성동구, 도선동,신한넥스텔,19.63,5,9700,14
6,20160122,2007,성동구, 마장동,마장동청계아르테미스,54.72,2,22000,778-5
7,20160107,2006,성동구, 행당동,왕십리역이스타빌,29.43,5,20500,287-15
8,20160110,2014,성동구, 행당동,서울숲 더샵,60.75,4,40900,377
9,20160113,2006,성동구, 행당동,왕십리역이스타빌,29.43,10,21000,287-15
