,tradeYMD,buildYear,gu,dong,aptName,jySize,floor,price,add1
0,20130131,2003,종로구, 적선동,광화문 플래티넘,45.36,9,23500,156
1,20130128,2008,종로구, 사직동,광화문 풍림스페이스본,39.54,4,30800,9
2,20130102,2004,종로구, 내수동,광화문시대,56.56,8,39000,74
3,20130115,2004,종로구, 내수동,경희궁의 아침 3단지,37.5,12,27000,72
4,20130117,2004,종로구, 내수동,용비어천가,37.56,4,26400,75
5,20130128,2004,종로구, 내수동,경희궁의 아침 4단지,56.48,11,42000,73
6,20130130,2004,종로구, 내수동,경희궁의 아침 3단지,37.5,11,26500,72
7,20130102,2004,종로구, 수송동,두산위브파빌리온,35.22,5,23900,58
8,20130118,2004,종로구, 수송동,두산위브파빌리온,53.16,13,31500,58
9,20130122,2007,종로구, 종로1가,르메이에르종로타운1,81.01,16,50700,24
10,20130129,2007,종로구, 종로1가,르메이에르종로타운1,36.23,13,25000,24
11,20130130,2007,종로구, 종로1가,르메이에르종로타운1,36.23,13,25000,24
12,20130121,1998,종로구, 운니동,오피스텔월드,23.76,10,8300,65-1
13,20130125,2004,종로구, 익선동,BIZ-WELL 종로 오피스텔,23.27,5,11450,34
14,20130115,2005,종로구, 경운동,운현궁 에스케이 허브,23.87,9,17200,89-4
15,20130119,2005,종로구, 경운동,운현궁 에스케이 허브,23.66,8,16900,89-4
16,20130102,1994,종로구, 낙원동,종로오피스텔,29.7,11,11700,58-1
17,20130108,2004,종로구, 낙원동,나스빌,28.58,5,11000,212
18,20130124,1991,종로구, 돈의동,낙원오피스텔,36.6,6,15000,39-2
19,20130103,2003,종로구, 효제동,반도 보라 아이비 타워,30.94,5,14000,45
20,20130105,2003,종로구, 효제동,반도 보라 아이비 타워,27.58,4,13500,45
21,20130128,2001,종로구, 연건동,대보마로니에텔,25.04,2,11200,206
22,20130128,1996,종로구, 창신동,금호팔레스,32.07,15,10900,327-2
23,20130110,2004,종로구, 숭인동,롯데캐슬 천지인,63.85,5,26000,76
24,20130110,2004,종로구, 숭인동,롯데캐슬 천지인,39.6,9,20500,76
25,20130112,2004,종로구, 숭인동,롯데캐슬 천지인,39.6,6,18200,76
26,20130114,2004,종로구, 숭인동,종로대우디오빌,29.65,12,16400,310
27,20130118,2004,종로구, 숭인동,종로대우디오빌,29.65,11,16400,310
28,20130128,2004,종로구, 숭인동,롯데캐슬 천지인,39.6,8,20800,76
29,20130130,2005,종로구, 숭인동,동양파라빌,24.93,6,11350,1388
30,20130131,1989,종로구, 구기동,요진오피스텔쉐레이,28.33,8,9050,110-1
31,20130104,2002,종로구, 부암동,타임730오피스텔,31.27,6,12300,129-8
0,20130105,2008,중구, 을지로2가,명동아르누보센텀,27.73,8,23500,199-40
1,20130107,2005,중구, 충무로5가,충무로 현대 프레스타워,43.34,15,21000,22-5
2,20130124,2005,중구, 충무로5가,충무로 현대 프레스타워,32.68,11,17000,22-5
3,20130118,2009,중구, 장충동2가,아도라타워,49.05,8,24000,173-2
4,20130131,1999,중구, 광희동1가,광희동금호트윈 오피스텔,19.8,8,7900,89-1
5,20130116,2005,중구, 을지로5가,대성을지로오피스텔,25.49,7,20000,77-2
6,20130103,2004,중구, 황학동,올리브1,25.05,11,12500,808
7,20130105,2004,중구, 황학동,올리브1,25.05,12,12000,808
8,20130112,2003,중구, 황학동,중앙시티빌,31.04,14,13900,805
9,20130121,2004,중구, 황학동,올리브1,23.73,5,11900,808
10,20130124,2004,중구, 만리동2가,KCC 파크타운,66.47,3,29000,11-1
0,20130112,2004,용산구, 서계동,서울역풍림아이원플러스,41.24,4,21000,219-17
1,20130117,2004,용산구, 원효로1가,디아뜨 센트럴,25.19,9,15250,112-4
2,20130128,2010,용산구, 문배동,리첸시아 용산B,56.1,2,36300,40-31
3,20130110,2005,용산구, 한강로1가,용산파크자이,31.83,33,27800,50-1
4,20130111,2005,용산구, 한강로1가,용산파크자이,39.03,3,25000,50-1
5,20130112,2005,용산구, 한강로1가,용산파크자이,42.39,9,32000,50-1
6,20130112,2005,용산구, 한강로1가,용산파크자이,42.39,28,32100,50-1
7,20130119,2005,용산구, 한강로1가,용산파크자이,33.6,10,26100,50-1
8,20130130,2005,용산구, 한강로1가,용산파크자이,42.39,28,36700,50-1
9,20130105,2005,용산구, 한강로2가,한강로벽산메가트리움,29.54,24,20200,2-8
10,20130107,2005,용산구, 한강로2가,한강현대하이엘,41.82,5,23500,2-36
11,20130114,2005,용산구, 한강로2가,한강로벽산메가트리움,30.11,25,20600,2-8
12,20130126,2005,용산구, 한강로2가,한강로벽산메가트리움,30.06,7,18400,2-8
13,20130122,2009,용산구, 용산동5가,파크타워,99.77,10,81500,24
14,20130112,1991,용산구, 한강로3가,삼구빌딩,39.84,20,11500,16-49
15,20130125,1991,용산구, 한강로3가,삼구빌딩,39.84,12,11000,16-49
16,20130125,1991,용산구, 한강로3가,삼구빌딩,39.84,15,11000,16-49
17,20130125,1991,용산구, 한강로3가,삼구빌딩,39.84,15,11000,16-49
18,20130129,2004,용산구, 한강로3가,한강대우트럼프월드3,25.59,11,19000,65-230
0,20130111,2005,성동구, 하왕십리동,동인 레반트 오피스텔,27.54,14,15300,903-3
1,20130118,2011,성동구, 하왕십리동,리오파크 오피스텔,22.11,7,12910,898-2
2,20130105,2007,성동구, 마장동,마장동청계아르테미스,58.32,9,16200,778-5
3,20130123,1988,성동구, 마장동,	(797-16)	,24.6,2,9000,797-16
4,20130118,2004,성동구, 행당동,성동샤르망,24.84,11,14000,192-29
5,20130119,2006,성동구, 행당동,왕십리역이스타빌,26.01,6,15500,287-15
6,20130128,2006,성동구, 행당동,왕십리역이스타빌,26.22,13,17000,287-15
7,20130128,2006,성동구, 행당동,왕십리역이스타빌,29.43,10,19800,287-15
8,20130128,2004,성동구, 옥수동,성원상떼뷰,27.01,11,16500,475
9,20130118,2005,성동구, 성수동1가,뚝섬리버빌,30.69,4,14000,13-117
10,20130102,2007,성동구, 성수동2가,성수동 아스테리아,84.76,6,30000,278-29
11,20130105,2003,성동구, 성수동2가,성원상떼뷰오피스텔,28.08,10,14000,277-37
12,20130128,1998,성동구, 성수동2가,성수아카데미타워,33.45,11,13500,277-17
13,20130131,1998,성동구, 성수동2가,성수아카데미타워,33.45,7,13900,277-17
14,20130107,1991,성동구, 용답동,삼호오피스텔,23.41,6,4700,236-5
15,20130115,1991,성동구, 용답동,삼호오피스텔,26.95,8,4000,236-5
16,20130117,2006,성동구, 용답동,신창비바패밀리,60.45,3,20000,232-1
17,20130119,2011,성동구, 용답동,오르세오피스텔,35,6,14400,238-2
18,20130129,2006,성동구, 용답동,신창비바패밀리,56.17,6,21500,232-1
19,20130131,1990,성동구, 용답동,	(228-1)	,23.43,9,4500,228-1
0,20130115,2002,광진구, 구의동,다성리버텔,33.97,4,16500,218-12
1,20130131,2003,광진구, 구의동,신도브래뉴오피스텔,24.41,10,13200,251-34
2,20130103,2005,광진구, 화양동,KCC파크타운,32.16,13,17900,527
3,20130109,2006,광진구, 화양동,한림타워,30.3,10,20000,7-3
4,20130117,2005,광진구, 화양동,KCC파크타운,25.79,13,16600,527
5,20130119,2005,광진구, 화양동,KCC파크타운,25.79,8,17500,527
6,20130130,2006,광진구, 화양동,한림타워,30.3,12,20000,7-3
0,20130111,2004,동대문구, 신설동,동광동대문베르빌,28.31,13,14000,97-8
1,20130114,2004,동대문구, 신설동,동광동대문베르빌,28.31,9,14500,97-8
2,20130117,2004,동대문구, 신설동,동광동대문베르빌,28.31,9,14200,97-8
3,20130122,2004,동대문구, 신설동,동광동대문베르빌,28.31,3,14500,97-8
4,20130126,2004,동대문구, 신설동,동광동대문베르빌,28.31,7,15500,97-8
5,20130105,2005,동대문구, 용두동,동의보감타워,36.02,11,14700,787
6,20130107,2004,동대문구, 용두동,신설동역대우아이빌(236-4),27.63,7,12000,236-4
7,20130122,2004,동대문구, 용두동,신설동역대우아이빌(236-1),30.29,14,13200,236-1
8,20130125,2006,동대문구, 용두동,한방천하-용두동 포스빌,39.02,9,14300,788
9,20130113,2006,동대문구, 답십리동,청계벽산메가트리움,31.86,12,16000,999
10,20130116,2006,동대문구, 답십리동,청계벽산메가트리움,31.86,10,14950,999
