,year,month,week,pct_서초구,pct_영등포구,pct_종로구,pct_강서구,pct_양천구,pct_강남구,pct_강동구,pct_마포구,pct_관악구,pct_노원구,pct_중랑구,pct_서대문구,pct_구로구,pct_송파구,pct_성동구,pct_동대문구,pct_도봉구,pct_용산구,pct_은평구,pct_광진구,pct_금천구,pct_성북구,pct_중구,pct_동작구,pct_강북구,pct_동남권,pct_서남권,pct_도심권,pct_서북권,pct_동북권
0,2013,9,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,9,36,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf
8,2013,9,37,-0.11119674056691242,0.10530976244015622,-0.09178108135083352,0.03200899733928697,0.16035672547055513,-0.23063061492012382,-0.0026850349183287214,0.046428651265709275,-0.021562515643560376,-0.14192032299649437,-0.1626740673310232,-0.1307462961744239,0.19257486671654633,-0.09521206989793496,0.16296714487041064,-0.09446970416228861,-1.0,0.8196676840987216,-0.2986294620589972,0.22807902072476072,inf,inf,inf,inf,inf,-0.21034317885954157,0.08594628854518271,-0.079373683602744,-0.03175610847528876,0.19278557779160965
15,2013,9,38,-1.0,-0.08451833765514816,-0.11310027577562365,0.28095365951793916,0.01232395667589925,0.1259091445629621,-0.21671915949684784,-0.10086035975292129,0.22486883518532585,0.21966734393443144,-1.0,0.4650530513283213,-1.0,0.07598528142226857,-0.014974252460684068,0.11189931764125505,inf,-1.0,0.22263962801456483,-0.06464397007088996,0.1922067134283838,-0.4088900407321808,-1.0,-0.30184798259445034,-1.0,0.019510740862215936,0.012549613161522588,-0.06446713273693305,0.028004853631996562,0.07577307299612235
22,2013,9,39,inf,0.0813122230530734,0.06433419836990595,-0.266696279703578,-0.3893460756790048,-0.11300095899705476,0.2720337955843768,-0.07177070719981771,-0.17223648848794215,-0.10213229173336746,inf,-0.08435040492756918,inf,0.04844261687486129,0.04629944610492709,-0.11369307931338357,-0.1358696744472333,inf,-0.2196900363698322,0.02107776091893987,-0.5047830648645313,-1.0,inf,-1.0,inf,-0.026875585049171646,-0.09368597355659958,0.07292056328378749,-0.14652680541399776,0.018428529684555217
29,2013,9,40,0.01537139894202011,-0.011165971985082956,0.30990846268739447,0.031037602795769503,0.1893711461802281,0.20549319602394567,0.27892917028353836,0.12301191304290149,0.003213897490088602,0.14585060529881622,-0.08129588260757425,-1.0,-0.04913795938763599,-0.18508569650528106,-0.14012076516788574,0.05501920480531042,-0.0342959278377748,2.0531960410740897,-1.0,0.18250361065308396,1.4148699517679426,0.0,-0.00953120404876262,inf,0.016853427479862182,0.036211783151499644,-0.04534748856479631,0.32819648223309805,0.1803112816382495,-0.13056105284544517
36,2013,10,41,-0.09385201030122714,-0.0857557251538612,-0.17435717943185258,0.22877493448249697,0.050854356563709624,0.08997811553359458,-0.06767438575351648,0.18578051152724284,-0.17562565757675308,-0.15334380059747466,-1.0,inf,0.1684417965214835,0.9326493830297216,0.20112777499483325,0.07765466136730437,-1.0,-0.213425218348541,inf,0.18619799070176102,-0.4281453225619076,0.0,-0.0675462161524707,-0.017992933359940788,0.03458792511647646,0.2100059498571094,0.04445535505358844,-0.18252289946367906,0.14426385260250063,0.0999372422507625
43,2013,10,42,0.00889825413281331,0.14167877162739284,-0.12029470933217878,-0.016047498555169848,-0.06130091717853736,-0.16981594715108306,-0.11009377821899269,-0.12216669587241857,-0.07867262088081306,-1.0,inf,-0.24848995365530213,-0.1284117219217883,-0.17489134341322576,-0.05505409233452818,-0.08786075367667656,inf,0.153340552400985,0.6244705174799257,-0.11697163442410885,-0.1249187700755966,inf,-0.11173873465514972,-1.0,0.03809904712482548,-0.17933308833534856,-0.02694144153010758,-0.09546789692604485,-0.11894499432243544,0.03604381135817514
50,2013,10,43,-0.13162418311359103,-0.06127873081191981,0.3992969286237349,-0.1881345530110724,0.12954257470210728,0.062307779381704176,-0.17425920801349493,-0.0283894148477557,0.22389104611040267,inf,-1.0,0.022087405783542513,0.2511214873811394,-0.23584029920229188,-0.15958545931454737,0.12227922929013313,-0.19912369821648768,-0.17985023079826523,-0.2805109679917911,0.1214276684969482,-0.18486059613810368,-1.0,0.13368141737734662,0.0,0.03762652774749631,-0.051573997338540734,0.06508234640512978,0.19270662601550725,-0.09638928019836046,-0.01587296108286218
57,2013,10,44,0.42959462932348824,-0.020844480873975835,-0.25528033255220417,0.2057874817416443,-0.010514033429909087,-0.04115622641916461,0.1875127042974989,0.15960263958523213,-0.09988757929578485,-0.028534260948471557,inf,0.06348528392965913,-0.12714130908323695,0.04886416842164221,-0.3978880902042964,-0.022631703761943234,0.19660593177644525,-0.18905220806934575,-0.05547632113803436,-0.31122982037224944,0.3406316864480228,0.0,-0.031437705509001046,inf,0.015298630251270096,0.12657950078542135,-0.04278411009302574,-0.16063874355825913,0.2372418590510783,-0.11474732737217519
