,year,month,week,pct_de_관악구,pct_re_관악구,pct_de_은평구,pct_re_은평구,pct_de_송파구,pct_re_송파구,pct_de_구로구,pct_re_구로구,pct_de_영등포구,pct_re_영등포구,pct_de_마포구,pct_re_마포구,pct_de_광진구,pct_re_광진구,pct_de_도봉구,pct_re_도봉구,pct_de_중랑구,pct_re_중랑구,pct_de_성북구,pct_re_성북구,pct_de_성동구,pct_re_성동구,pct_de_용산구,pct_re_용산구,pct_de_금천구,pct_re_금천구,pct_de_강동구,pct_re_강동구,pct_de_중구,pct_re_중구,pct_de_강서구,pct_re_강서구,pct_de_강남구,pct_re_강남구,pct_de_서초구,pct_re_서초구,pct_de_양천구,pct_re_양천구,pct_de_동대문구,pct_re_동대문구,pct_de_노원구,pct_re_노원구,pct_de_서대문구,pct_re_서대문구,pct_de_강북구,pct_re_강북구,pct_de_동작구,pct_re_동작구,pct_de_종로구,pct_re_종로구,pct_de_서남권,pct_re_서남권,pct_de_서북권,pct_re_서북권,pct_de_동남권,pct_re_동남권,pct_de_동북권,pct_re_동북권,pct_de_도심권,pct_re_도심권
0,2013,9,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,9,36,-0.19209651718643284,0.6667724531894639,1.3687341403552562,-0.19814814814814818,1.2683936516673548,-0.15323443951674554,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.3955291335922988,0.6793030374381914,1.791482590789967,-0.15604166666666663,1.1219356655403172,-0.1605920035343491,inf,inf,inf,inf
8,2013,9,37,-0.021196991554714217,0.2495557248032496,0.004680200906185039,0.049653579676674386,0.29307982791828646,-0.08942869183071445,0.1280405976484733,-0.08238840702348205,-0.1865582041263556,0.11531391402714952,1.20707944194627,-0.0917127071823205,1.885351499142685,-0.3766871165644172,0.5931882564192319,-0.4381178331356266,-0.23090161583325375,0.07213578500707207,-1.0,-1.0,0.7119172560650999,0.047839506172839386,-1.0,-1.0,-0.49545287108187075,0.3046085508051086,1.87217437533227,-0.27579120427455805,0.3024600106132971,-0.037439613526570326,0.7487642905178213,-0.19662610619469023,0.23625560417004277,-0.15222222222222226,6.997454800772337,-0.2941729323308271,0.06952073067386455,-0.10771992818671439,-0.27114795635970024,-0.16659528907922916,0.19300188240504923,-0.15328467153284686,-0.7493520274148937,0.5766208251473477,-1.0,-1.0,-0.011226910693102998,0.13569321533923295,-0.35123187233813147,-0.026634382566586012,-0.12195633852348453,0.04808322735064374,0.04725692558392147,0.038262157491977256,0.7377760257496098,-0.17157894736842116,0.3257406839446406,-0.13889710230632735,0.31378906249999994,-0.08440366972477098
15,2013,9,38,-0.21479218958893032,-0.15732087227414326,-0.30021238102729486,-0.0990099009900991,-0.22235210408619643,0.24967769660507066,-0.21446674121818676,0.12916277622159988,-0.13480176281744438,-0.03318994792845831,-0.4022986103855397,-0.09683698296836951,-1.0,-1.0,-0.6803474793506123,1.401477832512315,3.1074092491297858,-0.2717678100263853,0.0,0.0,-0.0023291235641302865,0.10810014727540507,inf,inf,-1.0,-1.0,0.41612865012142386,-0.026106696935300988,-1.0,-1.0,-0.23298226723644822,0.1325301204819278,-0.49722110561546395,0.4187418086500656,-0.7315277152859322,0.25876608965823356,-0.5017901162108228,0.026156941649899235,-0.09181117988942988,-0.0767386091127098,-0.04213848152960842,0.3362068965517242,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.08028446016317392,-0.0087137550922598,-0.3488550791455356,-0.12601046124583948,-0.38214749886203014,0.30511435832274447,-0.1392400587634769,0.3631019830028326,-0.5731870484345731,0.19739478957915857
22,2013,9,39,0.054573981172425956,-0.02464571780653102,0.36649758227025453,-0.027472527472527486,-0.2644458345392924,-0.027903320888190364,0.3640160594834816,0.021117801713171236,0.4960186247555727,-0.13039346620094505,0.25775109413189323,0.1975901253918495,inf,inf,0.6246992782678424,-0.12923076923076926,-0.5188256658595642,-0.05314009661835739,inf,inf,-0.24293747574791835,-0.040736310473152626,-1.0,-1.0,inf,inf,-0.2944260708235863,0.10589410589410586,inf,inf,0.9328321601627152,-0.2165054803352674,0.0051273138089860115,-0.060816012317167156,-0.3779431000654022,0.5084626234132581,1.0170083053543029,-0.1499999999999999,-0.46095213319458894,0.2571428571428571,0.6546511627906977,-0.27956989247311825,inf,inf,inf,inf,inf,inf,inf,inf,0.31721194647769835,-0.07219947202970023,0.41884981512076114,0.057081973159231136,-0.08160404543056121,-0.03479652877243267,-0.1987787895390607,-0.09154673455603479,0.7156739811912227,-0.2374476987447699
29,2013,9,40,-0.1473775668786187,0.057485786481364265,-0.23903354620642225,0.0442561205273071,0.5586680559834669,-0.04371795578587534,-0.08382101193477876,0.07865448504983386,-0.05509056106453891,0.11899937978085551,0.17577190075484372,-0.0005842827928720373,0.5357093175305345,-0.26958105646630226,0.4447460787539763,-0.23439340400471154,-0.6126556799597433,0.4158163265306123,1.563755410054378,-0.37916666666666665,0.5101396912089069,-0.026532732940768855,0.0,0.0,0.249173227506454,-0.17416590143862865,-0.09378453565031819,-0.08401084010840121,0.2349931309053186,0.12941329179646943,-0.15303065317508757,0.04410796576695164,0.6396766384229635,-0.016393442622950727,0.13199281552547415,-0.2762973352033661,-0.41054383774667635,0.10173010380622838,1.9201569146552497,-0.2539846517119244,-0.5755299836027172,0.4731343283582088,0.4541969255723082,0.4538745387453875,-0.6377616955285603,0.19813278008298751,-1.0,-1.0,2.028078250863061,-0.26436781609195403,-0.10707244314345454,0.0480482057809315,0.09518528786618674,0.0823197818694279,0.24637670992634186,-0.08019553072625651,0.3524944923487743,-0.1058458270354179,0.30653891832632896,0.028120713305898493
36,2013,10,41,0.4934847484678597,-0.14800759013282716,1.0730191330666958,-0.05117222723174042,-0.1852865271602252,0.07758272800645671,0.15449785525652926,-0.06367906367906373,0.0030566517834964557,-0.06894329896907192,0.1676064067816645,0.003408360128617449,-0.4610130801840647,0.2992518703241893,-1.0,-1.0,0.4967846703475154,-0.044324324324324316,-0.6579516924941564,0.4563758389261745,-0.19587266414615634,-0.06356746370623412,0.0,0.0,-0.32237072462530436,0.22813194959229022,-0.3328380525184561,0.1551610782380013,-0.16750570393997533,0.03358809332260648,-0.24458888168868165,-0.005884825556956463,0.6717199680104058,0.09666666666666668,1.775046439628483,-0.09922480620155028,0.7387265539074346,-0.008322864321608114,-0.25421034406774323,0.3732278272337619,1.658641741109923,-0.4741641337386018,-1.0,-1.0,0.40920442383160904,-0.07705627705627704,inf,inf,0.7025537736566088,-0.21875,0.08095825749891161,-0.028136625982527197,0.23398166118189723,-0.04045893719806737,0.19122856759591222,0.08336623239899943,-0.20175969794603799,0.18434343434343403,-0.0029769864785728073,0.020947298198799258
43,2013,10,42,-0.06179945709771861,0.11358574610244965,-0.12646330335028022,-0.14041339985744838,-0.007463382778244432,-0.004920471449822661,0.18260701020518577,-0.06722861842105265,0.03988103779156793,-0.035926353112050946,-0.17837373297652515,-0.05438412840835438,-0.09725723505092254,0.124760076775432,inf,inf,0.9539556481360933,0.2726244343891402,-0.2164009111617311,-0.2235023041474654,0.5999619435597043,-0.22029068110572803,0.0,0.0,-0.13639187006800146,0.08568841751277256,0.6474000719024742,-0.2450199203187251,0.1346293474592739,-0.08620354154504761,-0.1908996310661244,0.10232558139534875,-0.5630112501314267,-0.09650455927051671,0.36647365954883204,0.17039586919104988,0.012010086763260208,-0.03562945368171011,0.7451986999556803,0.13949579831932768,-0.7131236864637658,1.4971098265895955,inf,inf,0.7532489451476791,0.06378986866791747,-1.0,-1.0,-0.3981607553402826,0.16999999999999993,0.0593403847570837,0.005353522391890131,-0.22335785556764898,-0.050688325991189775,-0.14568918633592032,-0.13051928332827223,0.18667291367152705,-0.0571102819237147,-0.03413155384744859,-0.07997909043387352
50,2013,10,43,-0.002783335183024205,-0.006444444444444586,-0.31577350306177776,0.12990602542841367,0.5343841056490273,-0.15961361545538189,-0.17459555146083927,0.04243416564333469,-0.10596318307127184,-0.01434728259855611,0.4333135854589263,-0.0532898835481862,0.6188774085450992,-0.17576791808873715,-1.0,-1.0,-0.5655746807329262,-0.1644444444444445,0.16634366925064592,0.18100890207715126,-0.03091618734593271,-0.0014619883040934978,inf,inf,0.3512533538473088,-0.2607219442458899,-0.3897540942952654,0.304089709762533,-0.40257048092868986,0.1307495741056217,0.8591546825675198,-0.14936708860759496,0.8524132621144311,-0.29352396972245576,-0.5587124691282428,-0.32720588235294124,-0.012599600191457672,-0.08593322386425839,-0.6664550398916471,0.054572271386430726,0.6296296296296295,-0.5370370370370371,-1.0,-1.0,-1.0,-1.0,inf,inf,-0.7432778251678226,1.0683760683760686,-0.016517499952762638,-0.039469463506283775,0.2612289259774594,-0.012084081870806007,0.08920224361182716,-0.053506566079910334,-0.12243951537244213,0.01376616128732211,-0.29211601937488485,0.17462121212121207
57,2013,10,44,0.33076290400356,-0.1232284825440717,-0.136999447465612,-0.007827788649706346,-0.16585854906381414,0.07318789584799434,-0.030074887885868207,0.03041557591623012,-0.1985583862103545,-0.059530569752034745,-0.5272193002336723,0.15612756264236904,0.2138963637618161,-0.14078674948240155,inf,inf,0.7033912747102933,0.03368794326241131,-1.0,-1.0,-0.10681951301146331,0.06881405563689613,-0.1795167566403666,0.6960784313725488,0.0208490268024204,-0.014382402707275976,0.16204269726323695,0.04400606980273136,0.48001086202214616,-0.0350282485875707,-0.40518886761186923,0.1081349206349207,-0.7382257436030653,1.0857142857142859,-0.5937095282146161,0.04371584699453557,-0.5182352186372774,0.08323353293413183,0.5238246304168515,-0.23496503496503496,-1.0,-1.0,inf,inf,inf,inf,4.877281142554879,-0.11057692307692302,0.5174804969661948,-0.18595041322314043,-0.10801592514053904,-0.03773224615667414,0.057334015013387196,-0.005059924705557606,-0.28606979142791644,0.18422509225092254,0.16620386212805327,-0.13852188274153576,0.3802731543532374,-0.050709448564979165
