,year,month,week,pct_de_마포구,pct_de_영등포구,pct_de_관악구,pct_de_송파구,pct_de_구로구,pct_de_중구,pct_de_양천구,pct_de_강서구,pct_de_금천구,pct_de_강북구,pct_de_강동구,pct_de_도봉구,pct_de_광진구,pct_de_서초구,pct_de_서대문구,pct_de_노원구,pct_de_강남구,pct_de_성동구,pct_de_은평구,pct_de_중랑구,pct_de_성북구,pct_de_동대문구,pct_de_동작구,pct_de_종로구,pct_de_용산구,pct_de_서북권,pct_de_서남권,pct_de_동남권,pct_de_도심권,pct_de_동북권
0,2013,9,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,9,36,0.5223815498595925,-0.06617935188729085,0.6165400769134244,-0.16595534357638597,-0.011974542424503576,0.005685581806138096,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,0.48116508334827013,0.11671476067817133,-0.20650902627002188,0.005685581806138096,inf
8,2013,9,37,0.09454493058168101,-0.07357544166668639,-0.0352544115306439,-0.23979074163625969,0.03612054236795226,0.17198529008178265,-0.0418597372199202,0.010568988714127592,0.0788289371462394,0.5969017798286089,0.017566842655071913,-1.0,-0.06994322750221416,-0.09249261485178772,-1.0,-0.11569341263290078,-0.15672067610486085,-0.016038753291198193,-0.20150857498338726,-1.0,-1.0,inf,inf,inf,0.0,-0.11049097508456951,0.013045410798405932,-0.09310405782431574,0.030276085405346098,0.05330846044112825
15,2013,9,38,-1.0,-0.06692085547458038,-0.014734459242911502,-1.0,-0.17003828417297495,-0.016635132350461768,-0.05950123684740005,-0.17967957716575145,-1.0,-0.2694874441004471,-0.3074453680787542,inf,-1.0,-0.20662625809106883,0.0,-0.03548277719049808,0.09730875293637009,-1.0,0.06149165287036795,0.0,0.0,0.22350327016602378,-1.0,-1.0,0.0,-0.18440571833862696,-0.09319332283419424,-0.13072217258313812,0.11862167432047976,-0.24485104908946964
22,2013,9,39,inf,-0.05724966904107087,-0.08990344430033159,inf,0.26350309457415033,-0.05583601623073542,0.05998574157645553,0.1368722823770141,inf,-1.0,0.3854770537449168,0.19720943277163627,inf,0.027965761984484416,inf,0.11847057363828117,-1.0,inf,-0.08516080245540669,inf,inf,-0.0651406640852551,inf,inf,inf,0.5136531960322046,0.056091707904705856,0.19799227973035327,-0.08961194825976793,0.22882856980590915
29,2013,9,40,-0.19469221009567084,0.1186497722665294,0.14574452587107856,-0.20821795958938338,0.09925249172685269,-0.039932667308479664,-0.1621630543810867,0.05076677248226358,0.3177037377865586,0.0,0.00890053264396129,-0.1289019033674964,-0.14638105412117264,0.45435256336735863,0.1936670657487778,-0.019061881783053347,inf,0.226302133640645,0.2183648165706369,0.5102303220035778,-0.6505446289635468,0.10838648192947731,-0.020105331949409888,-0.0057531311581648925,0.11510563997296397,-0.19263299997244943,0.05397460994478953,0.009099825933191585,0.024200129736968945,0.014440315375494173
36,2013,10,41,-0.0025385700538412825,0.07471905421520364,-0.13247903410378759,0.09248716278518909,-0.11476859908705761,0.08379368319923186,0.05298135742343102,0.15767123332111366,-0.06310079859998508,inf,0.0017196904557179593,0.24974227959302597,-0.09103172539331683,-0.337470919916407,0.4765549089465382,-1.0,-0.26618181375191485,-0.20069530735436925,-0.27688566297515727,-0.2846844345733851,-1.0,0.03228722290199193,-0.27222440172616713,-0.4471905927423646,-0.39649540774663894,-0.08655690155263618,-0.010490422173370484,-0.09051599412912414,-0.21984364533730671,-0.04839437158731352
43,2013,10,42,0.17340486045554693,0.02486413882541827,0.08865062928150413,-0.14212042371306455,-0.10665885645810036,0.0055458599961215604,0.32398859960248605,-0.21244721186153315,0.4827968923418424,0.463770644335892,-0.05173462088698155,-0.11523150306638452,0.47406440538559225,0.4510704819946356,-0.3424541218676035,inf,0.21521745446093932,0.26921290790263575,0.33333333333333326,0.06517717375836063,inf,-0.01445870619140166,-0.12643523260201595,1.240074113287454,0.6664597529589824,0.25613778677740173,-0.003125891628022126,0.03815553081884837,0.3477567939662396,0.11030120229567242
50,2013,10,43,-0.028924321427189925,0.008796770427495826,-0.019362080117539482,0.08388843758461961,0.041840422102325636,-0.07845958037642697,-0.08149894075974606,0.1774942267799131,-0.39117320913728104,-0.41655079257876126,-0.03269805947913307,-0.06890960680989044,-0.0037724405628337676,-0.13528855250709582,-1.0,-0.07121893227328457,-0.014985502197723322,-0.13121012003034205,-0.04873702619079656,0.001457460375295927,-0.042873737195959105,-0.10029038269839208,-0.17858134583937546,0.14764805087385735,-0.567558970753185,-0.04290064372393554,0.019152126543879655,0.09132526391755103,-0.11676058292852187,-0.07653514167514242
57,2013,10,44,-0.03995168774258562,0.019004862007617085,-0.04516090521776117,0.11633939575630414,-0.12786493343377758,0.09283339680892189,-0.146916197289641,-0.06830254156722226,-0.18350211277866824,0.475997548685823,0.04471450882041639,-0.0003482803656944533,-1.0,0.2020243862334148,inf,0.12446000000000002,-0.1664516988008954,0.10887010829230936,0.004621047959689761,0.03762052028379115,0.07412379096024435,0.13833758851582445,1.0685497502159786,-0.3685205638443252,0.7535906468971392,-0.07691935879243639,-0.05849036122968709,-0.012870026112478228,0.030309220678406135,0.0709967018999611
64,2013,11,45,0.08631676771252805,-0.010486524304154532,0.31897298125191464,-0.051911722471084554,0.08608590723820808,0.0051573041596719715,0.13785508809780667,0.48267865425095424,0.02763835909790524,0.1271192305030795,-0.0800497636227917,-0.020294399442557398,inf,-0.1797239387267089,0.13058011405813152,0.035305835690020215,0.13816511929719488,0.06104389954701683,0.20531769750519757,-1.0,-1.0,0.3431016789564445,-0.4983385084708831,-1.0,0.37978232554032276,0.23078212023686717,0.09524446047101565,0.0016748860147017819,0.1920796589299567,0.06972087312502184
71,2013,11,46,-0.1307892860780121,0.08222539647657756,-0.10840820469677726,0.12161720910653773,0.14105161476448713,-0.07544815499209412,0.06469280713799797,-0.36959298942551255,-0.21878527394286706,0.24034053700065483,0.15937121343257732,-0.07379089615931711,0.022747758000637663,-0.1423617926071311,-0.3156202083742874,-0.07815076965365586,0.16446656726018172,0.08024436717936623,-0.15340457356924364,inf,inf,-0.2586369866250767,0.2386071596626489,inf,-0.43053600000000003,-0.1519213075169208,-0.022581897968623754,0.05463735314049023,-0.28834768279139744,-0.029890778598963386
78,2013,11,47,0.06784742631243668,0.011402287214318907,-0.014921494187188022,-0.016509706950070813,0.018974016436986485,0.02651831247102443,0.08058208972803627,0.03730037279552678,0.3943705020978632,-1.0,-0.03844610546550575,0.46731618352850823,-0.4458732257073804,0.2725933687228801,0.74117606507652,0.16248905123092117,0.05387115301325074,0.026888759577150534,-0.14448335322987127,-0.22155592518019207,0.2996510438601767,-0.0961973671628471,-1.0,0.7087485610919255,0.00990405012432749,-0.033970434251823334,0.06896381306074706,0.05497425928608246,0.19483219483219472,-0.03546364019118464
85,2013,11,48,-0.18950398321339557,0.0664545835135899,0.13846525139932764,-0.023552236463883602,-0.05565198087973233,-0.12009353767099218,-0.20686506452100373,0.11371692813423784,0.6439759276234505,0.0,0.08713837912327871,-0.32574493834429075,0.7108776326569954,-0.19389018912998435,-0.22061169949519943,-0.08608804386161772,0.28733742665633266,-0.29246570490874324,0.09766750287608472,-0.019136693344329103,-1.0,-0.18297772291776881,inf,-0.29291335046370703,0.03157689739594938,-0.06413659739003408,0.01340201821779563,0.05953701593610705,-0.17507874916967536,-0.04911720803534192
92,2013,12,49,0.29876384990508553,-0.08119463523367987,-0.15346955865681255,-0.0180208477906747,-0.06240732799818138,-0.061432824244636475,0.1477872479716542,0.1439734355382274,-0.6956047419331377,0.0,-0.14687516737783657,-1.0,0.003605735372827379,0.13452639368075325,-0.13877797758745058,-0.07208010905737539,-0.3206284873553007,0.17888237414153307,0.15655484883711623,0.14083161354429397,inf,0.13367625899280577,-1.0,0.6363364153562778,0.745030880012945,0.12697323515648207,-0.047436793643463204,-0.12890869760116086,0.3221598478045291,0.06309862911276998
99,2013,12,50,-0.10981580144890046,-0.11351724475660718,0.12607210359591514,0.1321981700513275,0.1089569039172158,-0.0023778563645125983,-0.04181826186476667,-0.25534969023928833,1.9709302325581395,0.0,-0.03232175789680214,inf,0.17145423414825833,-0.2068092168978296,0.3316571799333472,0.02692199669450046,-0.10472765905283365,-0.006534023558718349,-0.09723931389713292,-0.09329670697799053,-1.0,-1.0,inf,-0.20700458580783965,-0.2080396884272997,-0.003335305384520537,-0.01086695846276875,-0.06426780653195574,-0.14917143077873918,0.13273612390895795
106,2013,12,51,0.1527910071214913,0.07850195291127826,0.1301316143381197,-0.007505844230079384,-0.0998344655984722,0.15101066292016196,-0.02125034924882674,0.17124472508377808,-0.42433584430206683,inf,0.03502170203655308,0.3424428997020854,-0.1136601062886663,0.547682452607458,0.04054592768949661,0.08160447692505923,0.4836062300319488,-0.19568153454259463,-0.00060182286231103,0.25402719278799935,inf,inf,0.3590362710618864,-0.2334275005594092,0.019872633010037166,-0.0068719997844275404,0.043312513282897536,0.25286012277306535,0.05442369899551669,-0.05243255564008753
113,2013,12,52,-0.0015860939731477952,0.09405057246351478,-0.20144479133125193,-0.11307171370126878,-0.038297236455267614,0.11110405554144442,0.13261892805161413,-0.16481607197063763,0.7229090993759892,0.10730916130382462,-0.07357608657042614,-0.2557797766994122,-1.0,-1.0,-0.2680866762800216,-0.1009825946853653,0.11515440507755326,0.16516108005469698,0.04751255970768131,-0.09992192448772141,-0.004178883621516416,0.33402762887861037,-0.11750222084894346,-0.34363198511302073,-0.1204348020206143,0.006067766604813896,-0.05235662572895328,0.057363108216266445,-0.01686490850376765,-0.056890562372799436
